"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"647",0.341735475177686,0.0376758447444064,0,0.413210703799747,0,0,0,0,0.0917170325251156,0.115660943753045,0.413210703799747
"648",0,0.00835974942440728,0,0.85318258309809,0,0.0237870791152046,0,0.00359031622088901,0,0.111080272141409,0.85318258309809
"649",0,0.523721364476437,0.0258984569125843,0.418513445667075,0,0,0,0,0,0.0318667329439035,0.523721364476437
"650",0.0103995274664169,0.00576330808275261,0.0818943227428996,0,0.895278001406219,0.00666484030171156,0,0,0,0,0.895278001406219
"651",0,0.0195499565913984,0,0.123084300558857,0.0195499565913984,0.837815786258346,0,0,0,0,0.837815786258346
"652",0.00920844138765959,0.196091429850666,0.529298114315726,0.111880211243584,0.0355912396132874,0.116392036903543,0,0,0,0.00153852668553399,0.529298114315726
"653",0.156552142369581,0.0164430472327977,0,0.203245012490023,0.294046693412763,0.201799541172054,0.00481371699617574,0.0318188301458145,0.0846601473523402,0.00662086882845086,0.294046693412763
"654",0,0,0,0,0,0.994652284137792,0.00534771586220817,0,0,0,0.994652284137792
"655",0,0.661855504494393,0,0.338144495505607,0,0,0,0,0,0,0.661855504494393
"656",0.930581689657419,0.00368788207242566,0.0069717254255149,0.04851422548748,0,0,0,0,0,0.0102444773571608,0.930581689657419
"657",0,0.0262991204382572,0,0.159166290225782,0.0127537283746475,0.784104472292639,0,0.0176763886686735,0,0,0.784104472292639
"658",0,0.0189602534844653,0,0.973719258307348,0,0,0,0,0,0.00732048820818694,0.973719258307348
"659",0.857792480472816,0.0458081710707997,0,0.0563260477841851,0,0.000966784362728375,0,0.018490584424285,0,0.020615931885186,0.857792480472816
"660",0.987511019555719,0.00817606990270469,0,0,0,0,0,0,0,0.00431291054157646,0.987511019555719
"661",0.0308667810474174,0.0611643938789628,0.0233587523282351,0.19331179092923,0.545222840596856,0.121793669849549,0,0.0242817713697494,0,0,0.545222840596856
"662",0,0.1529734594219,0.732899347600018,0.0135405017071255,0.0994124219287307,0,0,0,0,0.00117426934222605,0.732899347600018
"663",0,0.0592465795526219,0.0305419807837412,0.0113432771220033,0,0.0464860238913608,0.752370611827129,0.0869075129149874,0,0.0131040139081566,0.752370611827129
"664",0,0.228840251577116,0,0.0558230333306293,0.0576065728477489,0.0148993281433885,0.0119154427226119,0.630915371378506,0,0,0.630915371378506
"665",0,1,0,0,0,0,0,0,0,0,1
"666",0.686602744418922,0,0,0.161586960709994,0,0,0.132316052975071,0.019494241896013,0,0,0.686602744418922
"667",0,0.340295583408484,0,0.0619327321825743,0,0,0,0,0.597771684408941,0,0.597771684408941
"668",0,0.0756117919022037,0,0.892095140747066,0.0172174403443833,0.0150756270063476,0,0,0,0,0.892095140747066
"669",0,0.050548166237261,0.00116260989847763,0.0775820188317806,0.0117831740474817,0.738776587409439,0.0428370399622657,0.0696688350654811,0,0.00764156854781326,0.738776587409439
"670",0,0,0,1,0,0,0,0,0,0,1
"671",0,0.00847771004888622,0,0.149722114865759,0.00847771004888622,0.833322465036469,0,0,0,0,0.833322465036469
"672",0,0.984693640326932,0,0,0.0153063596730681,0,0,0,0,0,0.984693640326932
"673",0,0.0648955510516303,0,0.646710925809688,0.0265784601034099,0.192229128350193,0,0,0,0.0695859346850778,0.646710925809688
"674",0,0.00666545678625422,0.00695418011712951,0.889113001977835,0.00666545678625422,0.0203662469181138,0,0.0330962341072565,0,0.0371394233071569,0.889113001977835
"675",0,0.0472456720406257,0,0.0851461495559144,0.0273650563216487,0.518750159187531,0,0.0307819272039094,0.271570483384517,0.0191405523058534,0.518750159187531
